0,#BlackAutistics #AutisticWhileBlack #BlackAutisticWomen #BlackAutisticGirls #AutisticWomen #AutisticGirls #AutisticTeachers #SENTeachers #SENDTeachers #SENCo #SENDCo,2025-11-18 15:59:22+00:00,285223250,"['BlackAutistics', 'AutisticWhileBlack', 'BlackAutisticWomen', 'BlackAutisticGirls', 'AutisticWomen', 'AutisticGirls', 'AutisticTeachers', 'SENTeachers', 'SENDTeachers', 'SENCo', 'SENDCo']"
1,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-12-01 17:30:03+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
2,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-11-07 15:30:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
3,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-10-14 17:30:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
4,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-10-12 07:54:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
5,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-10-05 22:07:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
6,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-09-23 03:06:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
7,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-09-11 20:15:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
8,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-08-06 09:42:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
9,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-08-02 19:45:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
10,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-07-25 13:00:55+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
11,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-07-16 22:28:01+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
12,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-07-13 21:22:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
13,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by @K__Gilyard Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackAutisticWomen
#BlackAutisticGirls
#BlackWomenWithAutism
#BlackGirlsWithAutism",2024-06-19 17:30:09+00:00,461548148,"['BlackAutisticWomen', 'BlackAutisticGirls', 'BlackWomenWithAutism', 'BlackGirlsWithAutism']"
14,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-06-18 23:20:01+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
15,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-06-15 01:45:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
16,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-06-12 00:15:01+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
17,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-06-10 00:17:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
18,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-06-05 00:30:03+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
19,"How Black Autistic Women and Girls are Excluded from Conversations on Resources and Research by Katherine Gilyard 
https://t.co/C163uFVnMT 

#BlackWomenWithAutism
#BlackGirlsWithAutism
#BlackAutisticWomen
#BlackAutisticGirls",2024-05-31 00:20:00+00:00,461548148,"['BlackWomenWithAutism', 'BlackGirlsWithAutism', 'BlackAutisticWomen', 'BlackAutisticGirls']"
